from_airport,from_city,from_country,from_long,from_lat,to_airport,to_city,to_country,to_long,to_lat,airline,airline_country,distance
Heathrow,London,United Kingdom,-0.103,51.795,Hartsfield Jackson Atlanta Intl,Atlanta,United States,-84.047,34.061,American Airlines,United States,6714
Heathrow,London,United Kingdom,-0.103,51.795,Abu Dhabi Intl,Abu Dhabi,United Arab Emirates,55.085,24.721,American Airlines,United States,5504
Heathrow,London,United Kingdom,-0.103,51.795,Bahrain Intl,Bahrain,Bahrain,51.056,26.451,American Airlines,United States,5091
Heathrow,London,United Kingdom,-0.103,51.795,General Edward Lawrence Logan Intl,Boston,United States,-70.342,42.607,American Airlines,United States,5192
Heathrow,London,United Kingdom,-0.103,51.795,Baltimore Washington Intl,Baltimore,United States,-76.448,39.292,American Airlines,United States,5822
Heathrow,London,United Kingdom,-0.103,51.795,Denver Intl,Denver,United States,-104.456,40.436,American Airlines,United States,7434
Heathrow,London,United Kingdom,-0.103,51.795,Dallas Fort Worth Intl,Dallas-fort Worth,United States,-96.397,33.494,American Airlines,United States,7544
Heathrow,London,United Kingdom,-0.103,51.795,Newark Liberty Intl,Newark,United States,-73.615,41.154,American Airlines,United States,5505
Heathrow,London,United Kingdom,-0.103,51.795,Washington Dulles Intl,Washington,United States,-77.094,39.574,American Airlines,United States,5844
Heathrow,London,United Kingdom,-0.103,51.795,George Bush Intcntl Houston,Houston,United States,-94.903,30.64,American Airlines,United States,7688
Heathrow,London,United Kingdom,-0.103,51.795,John F Kennedy Intl,New York,United States,-73.632,41.066,American Airlines,United States,5512
Heathrow,London,United Kingdom,-0.103,51.795,Mc Carran Intl,Las Vegas,United States,-114.588,36.133,American Airlines,United States,8355
Heathrow,London,United Kingdom,-0.103,51.795,Los Angeles Intl,Los Angeles,United States,-118.014,34.57,American Airlines,United States,8675
Heathrow,London,United Kingdom,-0.103,51.795,Miami Intl,Miami,United States,-79.818,26.322,American Airlines,United States,7052
Heathrow,London,United Kingdom,-0.103,51.795,Chicago Ohare Intl,Chicago,United States,-87.842,42.631,American Airlines,United States,6296
Heathrow,London,United Kingdom,-0.103,51.795,Philadelphia Intl,Philadelphia,United States,-74.736,40.453,American Airlines,United States,5627
Heathrow,London,United Kingdom,-0.103,51.795,Phoenix Sky Harbor Intl,Phoenix,United States,-111.353,33.723,American Airlines,United States,8398
Heathrow,London,United Kingdom,-0.103,51.795,Raleigh Durham Intl,Raleigh-durham,United States,-78.646,36.462,American Airlines,United States,6175
Heathrow,London,United Kingdom,-0.103,51.795,San Diego Intl,San Diego,United States,-116.65,33.222,American Airlines,United States,8729
Heathrow,London,United Kingdom,-0.103,51.795,Seattle Tacoma Intl,Seattle,United States,-121.849,47.748,American Airlines,United States,7641
Heathrow,London,United Kingdom,-0.103,51.795,San Francisco Intl,San Francisco,United States,-121.959,38.031,American Airlines,United States,8548
Heathrow,London,United Kingdom,-0.103,51.795,Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,American Airlines,United States,5191
Heathrow,London,United Kingdom,-0.103,51.795,Vancouver Intl,Vancouver,Canada,-122.641,49.323,American Airlines,United States,7530
Heathrow,London,United Kingdom,-0.103,51.795,Calgary Intl,Calgary,Canada,-113.368,51.189,American Airlines,United States,6967
Heathrow,London,United Kingdom,-0.103,51.795,Lester B Pearson Intl,Toronto,Canada,-79.385,44.128,American Airlines,United States,5667
Manchester,Manchester,United Kingdom,-1.792,53.589,John F Kennedy Intl,New York,United States,-73.632,41.066,American Airlines,United States,5345
Manchester,Manchester,United Kingdom,-1.792,53.589,Chicago Ohare Intl,Chicago,United States,-87.842,42.631,American Airlines,United States,6103
City,London,United Kingdom,0.092,51.842,Frankfurt Main,Frankfurt,Germany,8.905,50.044,Air Berlin,Germany,648
City,London,United Kingdom,0.092,51.842,Zurich,Zurich,Switzerland,8.915,47.774,Air Berlin,Germany,777
Gatwick,London,United Kingdom,0.349,51.246,Nurnberg,Nuernberg,Germany,11.111,49.831,Air Berlin,Germany,775
Gatwick,London,United Kingdom,0.349,51.246,Salzburg,Salzburg,Austria,13.007,48.322,Air Berlin,Germany,963
Heathrow,London,United Kingdom,-0.103,51.795,EuroAirport Basel-Mulhouse-Freiburg,Basel-Mulhouse-Freiburg,Switzerland,7.881,47.983,Air Berlin,Germany,711
Heathrow,London,United Kingdom,-0.103,51.795,Frankfurt Main,Frankfurt,Germany,8.905,50.044,Air Berlin,Germany,660
Heathrow,London,United Kingdom,-0.103,51.795,Hamburg,Hamburg,Germany,10.647,54.05,Air Berlin,Germany,762
Heathrow,London,United Kingdom,-0.103,51.795,Franz Josef Strauss,Munich,Germany,12.31,48.589,Air Berlin,Germany,951
Heathrow,London,United Kingdom,-0.103,51.795,Orly,Paris,France,2.599,49.208,Air Berlin,Germany,345
Heathrow,London,United Kingdom,-0.103,51.795,Stuttgart,Stuttgart,Germany,9.369,49.149,Air Berlin,Germany,731
Heathrow,London,United Kingdom,-0.103,51.795,Tegel,Berlin,Germany,13.479,52.932,Air Berlin,Germany,929
Heathrow,London,United Kingdom,-0.103,51.795,Schwechat,Vienna,Austria,16.949,48.183,Air Berlin,Germany,1279
Heathrow,London,United Kingdom,-0.103,51.795,Zurich,Zurich,Switzerland,8.915,47.774,Air Berlin,Germany,785
Manchester,Manchester,United Kingdom,-1.792,53.589,Ataturk,Istanbul,Turkey,29.357,41.628,Air Berlin,Germany,2656
Stansted,London,United Kingdom,0.391,52.475,Dusseldorf,Duesseldorf,Germany,7.277,51.482,Air Berlin,Germany,484
Heathrow,London,United Kingdom,-0.103,51.795,Zvartnots,Yerevan,Armenia,44.659,40.245,Air Canada,Canada,3620
Heathrow,London,United Kingdom,-0.103,51.795,King Khaled Intl,Riyadh,Saudi Arabia,47.164,25.596,Air Canada,Canada,4905
Heathrow,London,United Kingdom,-0.103,51.795,Edmonton Intl,Edmonton,Canada,-113.3,53.516,Air Canada,Canada,6767
Heathrow,London,United Kingdom,-0.103,51.795,Halifax Intl,Halifax,Canada,-63.182,45.468,Air Canada,Canada,4541
Heathrow,London,United Kingdom,-0.103,51.795,Ottawa Macdonald Cartier Intl,Ottawa,Canada,-75.449,45.537,Air Canada,Canada,5326
Heathrow,London,United Kingdom,-0.103,51.795,Pierre Elliott Trudeau Intl,Montreal,Canada,-73.569,45.784,Air Canada,Canada,5191
Heathrow,London,United Kingdom,-0.103,51.795,Vancouver Intl,Vancouver,Canada,-122.641,49.323,Air Canada,Canada,7530
Heathrow,London,United Kingdom,-0.103,51.795,Calgary Intl,Calgary,Canada,-113.368,51.189,Air Canada,Canada,6967
Heathrow,London,United Kingdom,-0.103,51.795,Lester B Pearson Intl,Toronto,Canada,-79.385,44.128,Air Canada,Canada,5667
Dyce,Aberdeen,United Kingdom,-1.663,57.336,Charles De Gaulle,Paris,France,2.916,49.021,Air France,France,973
City,Belfast,United Kingdom,-5.788,55.03,Exeter,Exeter,United Kingdom,-3.024,51.224,Air France,France,461
Birmingham,Birmingham,United Kingdom,-1.581,52.756,Charles De Gaulle,Paris,France,2.916,49.021,Air France,France,521
Birmingham,Birmingham,United Kingdom,-1.581,52.756,Aix Les Bains,Chambery,France,6.467,46.063,Air France,France,943
Birmingham,Birmingham,United Kingdom,-1.581,52.756,Saint Exupery,Lyon,France,5.151,46.21,Air France,France,874
Bristol,Bristol,United Kingdom,-2.532,51.637,Charles De Gaulle,Paris,France,2.916,49.021,Air France,France,483
Cardiff,Cardiff,United Kingdom,-2.906,51.661,Charles De Gaulle,Paris,France,2.916,49.021,Air France,France,506
Cardiff,Cardiff,United Kingdom,-2.906,51.661,Glasgow,Glasgow,United Kingdom,-4.056,56.453,Air France,France,538
Dundee,Dundee,United Kingdom,-2.377,56.754,City,London,United Kingdom,0.092,51.842,Air France,France,569
Edinburgh,Edinburgh,United Kingdom,-2.955,56.583,Charles De Gaulle,Paris,France,2.916,49.021,Air France,France,928
Edinburgh,Edinburgh,United Kingdom,-2.955,56.583,City,London,United Kingdom,0.092,51.842,Air France,France,563
Exeter,Exeter,United Kingdom,-3.024,51.224,City,Belfast,United Kingdom,-5.788,55.03,Air France,France,461
Exeter,Exeter,United Kingdom,-3.024,51.224,Charles De Gaulle,Paris,France,2.916,49.021,Air France,France,488
Exeter,Exeter,United Kingdom,-3.024,51.224,Aix Les Bains,Chambery,France,6.467,46.063,Air France,France,901
Glasgow,Glasgow,United Kingdom,-4.056,56.453,Cardiff,Cardiff,United Kingdom,-2.906,51.661,Air France,France,538
City,London,United Kingdom,0.092,51.842,Schiphol,Amsterdam,Netherlands,5.273,52.514,Air France,France,361
City,London,United Kingdom,0.092,51.842,Deurne,Antwerp,Belgium,4.767,51.315,Air France,France,328
City,London,United Kingdom,0.092,51.842,La Roche,Brive,France,1.781,45.251,Air France,France,743
City,London,United Kingdom,0.092,51.842,Dundee,Dundee,United Kingdom,-2.377,56.754,Air France,France,569
City,London,United Kingdom,0.092,51.842,St Gatien,Deauville,France,0.257,49.608,Air France,France,248
City,London,United Kingdom,0.092,51.842,Dublin,Dublin,Ireland,-5.784,53.702,Air France,France,445
City,London,United Kingdom,0.092,51.842,Edinburgh,Edinburgh,United Kingdom,-2.955,56.583,Air France,France,563
City,London,United Kingdom,0.092,51.842,Eindhoven,Eindhoven,Netherlands,5.624,51.75,Air France,France,380
City,London,United Kingdom,0.092,51.842,Firenze,Firenze,Italy,11.341,44.349,Air France,France,1177
City,London,United Kingdom,0.092,51.842,Linate,Milan,Italy,9.461,45.741,Air France,France,963
City,London,United Kingdom,0.092,51.842,Luxembourg,Luxemburg,Luxembourg,6.352,50.044,Air France,France,481
City,London,United Kingdom,0.092,51.842,Nantes Atlantique,Nantes,France,-1.352,47.255,Air France,France,520
City,London,United Kingdom,0.092,51.842,Orly,Paris,France,2.599,49.208,Air France,France,342
City,London,United Kingdom,0.092,51.842,Pau Pyrenees,Pau,France,-0.032,43.633,Air France,France,912
City,London,United Kingdom,0.092,51.842,Rotterdam,Rotterdam,Netherlands,4.728,52.594,Air France,France,326
Heathrow,London,United Kingdom,-0.103,51.795,Charles De Gaulle,Paris,France,2.916,49.021,Air France,France,375
Heathrow,London,United Kingdom,-0.103,51.795,Henri Coanda,Bucharest,Romania,26.17,44.953,Air France,France,2070
Manchester,Manchester,United Kingdom,-1.792,53.589,Deurne,Antwerp,Belgium,4.767,51.315,Air France,France,511
Manchester,Manchester,United Kingdom,-1.792,53.589,Charles De Gaulle,Paris,France,2.916,49.021,Air France,France,603
Manchester,Manchester,United Kingdom,-1.792,53.589,Nantes Atlantique,Nantes,France,-1.352,47.255,Air France,France,705
Newcastle,Newcastle,United Kingdom,-1.487,55.062,Charles De Gaulle,Paris,France,2.916,49.021,Air France,France,735
Southampton,Southampton,United Kingdom,-0.929,51.583,Aix Les Bains,Chambery,France,6.467,46.063,Air France,France,817
Southampton,Southampton,United Kingdom,-0.929,51.583,Bellegarde,Limoges,France,1.299,46.437,Air France,France,594
Southampton,Southampton,United Kingdom,-0.929,51.583,Orly,Paris,France,2.599,49.208,Air France,France,363
Southampton,Southampton,United Kingdom,-0.929,51.583,St Jacques,Rennes,France,-1.558,48.115,Air France,France,388
Heathrow,London,United Kingdom,-0.103,51.795,Houari Boumediene,Algier,Algeria,3.359,37.151,Air Algerie,Algeria,1650
Heathrow,London,United Kingdom,-0.103,51.795,Chhatrapati Shivaji Intl,Bombay,India,73.446,19.147,Air India Limited,India,7223
Heathrow,London,United Kingdom,-0.103,51.795,Indira Gandhi Intl,Delhi,India,77.171,28.944,Air India Limited,India,6675
Heathrow,London,United Kingdom,-0.103,51.795,John F Kennedy Intl,New York,United States,-73.632,41.066,Air India Limited,India,5512
Gatwick,London,United Kingdom,0.349,51.246,Barajas,Madrid,Spain,-3.278,40.822,AeroMéxico,Mexico,1192
Heathrow,London,United Kingdom,-0.103,51.795,Mohammed V Intl,Casablanca,Morocco,-7.317,33.612,Royal Air Maroc,Morocco,2103
Heathrow,London,United Kingdom,-0.103,51.795,Ibn Batouta,Tanger,Morocco,-5.862,36.211,Royal Air Maroc,Morocco,1791
Heathrow,London,United Kingdom,-0.103,51.795,Arlanda,Stockholm,Sweden,18.531,60.086,Finnair,Finland,1473
Heathrow,London,United Kingdom,-0.103,51.795,Helsinki Vantaa,Helsinki,Finland,25.605,60.528,Finnair,Finland,1846
Manchester,Manchester,United Kingdom,-1.792,53.589,Helsinki Vantaa,Helsinki,Finland,25.605,60.528,Finnair,Finland,1809
Dyce,Aberdeen,United Kingdom,-1.663,57.336,Charles De Gaulle,Paris,France,2.916,49.021,Alitalia,Italy,973
Birmingham,Birmingham,United Kingdom,-1.581,52.756,Saint Exupery,Lyon,France,5.151,46.21,Alitalia,Italy,874
Bristol,Bristol,United Kingdom,-2.532,51.637,Schiphol,Amsterdam,Netherlands,5.273,52.514,Alitalia,Italy,541
Cardiff,Cardiff,United Kingdom,-2.906,51.661,Schiphol,Amsterdam,Netherlands,5.273,52.514,Alitalia,Italy,566
Edinburgh,Edinburgh,United Kingdom,-2.955,56.583,Charles De Gaulle,Paris,France,2.916,49.021,Alitalia,Italy,928
Glasgow,Glasgow,United Kingdom,-4.056,56.453,Schiphol,Amsterdam,Netherlands,5.273,52.514,Alitalia,Italy,743
Humberside,Humberside,United Kingdom,0.081,53.957,Schiphol,Amsterdam,Netherlands,5.273,52.514,Alitalia,Italy,380
Leeds Bradford,Leeds,United Kingdom,-1.435,54.443,Schiphol,Amsterdam,Netherlands,5.273,52.514,Alitalia,Italy,492
City,London,United Kingdom,0.092,51.842,Firenze,Firenze,Italy,11.341,44.349,Alitalia,Italy,1177
City,London,United Kingdom,0.092,51.842,Linate,Milan,Italy,9.461,45.741,Alitalia,Italy,963
Heathrow,London,United Kingdom,-0.103,51.795,Fiumicino,Rome,Italy,12.417,42.34,Alitalia,Italy,1411
Heathrow,London,United Kingdom,-0.103,51.795,Linate,Milan,Italy,9.461,45.741,Alitalia,Italy,970
Manchester,Manchester,United Kingdom,-1.792,53.589,Charles De Gaulle,Paris,France,2.916,49.021,Alitalia,Italy,603
Durham Tees Valley Airport,Teesside,United Kingdom,-1.05,54.848,Schiphol,Amsterdam,Netherlands,5.273,52.514,Alitalia,Italy,490
Newcastle,Newcastle,United Kingdom,-1.487,55.062,Charles De Gaulle,Paris,France,2.916,49.021,Alitalia,Italy,735
Norwich,Norwich,United Kingdom,1.471,53.126,Schiphol,Amsterdam,Netherlands,5.273,52.514,Alitalia,Italy,264
Gatwick,London,United Kingdom,0.349,51.246,Minsk 2,Minsk 2,Belarus,28.051,54.47,Belavia Belarusian Airlines,Belarus,1881
Dyce,Aberdeen,United Kingdom,-1.663,57.336,Gatwick,London,United Kingdom,0.349,51.246,British Airways,United Kingdom,689
Dyce,Aberdeen,United Kingdom,-1.663,57.336,Heathrow,London,United Kingdom,-0.103,51.795,British Airways,United Kingdom,624
Birmingham,Birmingham,United Kingdom,-1.581,52.756,Dusseldorf,Duesseldorf,Germany,7.277,51.482,British Airways,United Kingdom,620
Birmingham,Birmingham,United Kingdom,-1.581,52.756,Hamburg,Hamburg,Germany,10.647,54.05,British Airways,United Kingdom,822
Birmingham,Birmingham,United Kingdom,-1.581,52.756,Malpensa,Milano,Italy,9.213,46.051,British Airways,United Kingdom,1077
Birmingham,Birmingham,United Kingdom,-1.581,52.756,Stuttgart,Stuttgart,Germany,9.369,49.149,British Airways,United Kingdom,864
Edinburgh,Edinburgh,United Kingdom,-2.955,56.583,City,London,United Kingdom,0.092,51.842,British Airways,United Kingdom,563
Edinburgh,Edinburgh,United Kingdom,-2.955,56.583,Gatwick,London,United Kingdom,0.349,51.246,British Airways,United Kingdom,631
Edinburgh,Edinburgh,United Kingdom,-2.955,56.583,Heathrow,London,United Kingdom,-0.103,51.795,British Airways,United Kingdom,563
Glasgow,Glasgow,United Kingdom,-4.056,56.453,City,London,United Kingdom,0.092,51.842,British Airways,United Kingdom,579
Glasgow,Glasgow,United Kingdom,-4.056,56.453,Gatwick,London,United Kingdom,0.349,51.246,British Airways,United Kingdom,646
Glasgow,Glasgow,United Kingdom,-4.056,56.453,Heathrow,London,United Kingdom,-0.103,51.795,British Airways,United Kingdom,578
Glasgow,Glasgow,United Kingdom,-4.056,56.453,Barajas,Madrid,Spain,-3.278,40.822,British Airways,United Kingdom,1738
Inverness,Inverness,United Kingdom,-3.413,57.904,Gatwick,London,United Kingdom,0.349,51.246,British Airways,United Kingdom,778
City,London,United Kingdom,0.092,51.842,Malaga,Malaga,Spain,-4.166,37.124,British Airways,United Kingdom,1670
City,London,United Kingdom,0.092,51.842,Schiphol,Amsterdam,Netherlands,5.273,52.514,British Airways,United Kingdom,361
City,London,United Kingdom,0.092,51.842,Arlanda,Stockholm,Sweden,18.531,60.086,British Airways,United Kingdom,1460
City,London,United Kingdom,0.092,51.842,Barcelona,Barcelona,Spain,2.13,41.495,British Airways,United Kingdom,1160
City,London,United Kingdom,0.092,51.842,Aix Les Bains,Chambery,France,6.467,46.063,British Airways,United Kingdom,792
City,London,United Kingdom,0.092,51.842,Kastrup,Copenhagen,Denmark,13.093,56.029,British Airways,United Kingdom,967
City,London,United Kingdom,0.092,51.842,Edinburgh,Edinburgh,United Kingdom,-2.955,56.583,British Airways,United Kingdom,563
City,London,United Kingdom,0.092,51.842,Faro,Faro,Portugal,-7.944,37.024,British Airways,United Kingdom,1764
City,London,United Kingdom,0.092,51.842,Frankfurt Main,Frankfurt,Germany,8.905,50.044,British Airways,United Kingdom,648
City,London,United Kingdom,0.092,51.842,Glasgow,Glasgow,United Kingdom,-4.056,56.453,British Airways,United Kingdom,579
City,London,United Kingdom,0.092,51.842,Geneva Cointrin,Geneva,Switzerland,6.181,46.396,British Airways,United Kingdom,749
City,London,United Kingdom,0.092,51.842,Barajas,Madrid,Spain,-3.278,40.822,British Airways,United Kingdom,1251
City,London,United Kingdom,0.092,51.842,Cote D Azur,Nice,France,7.359,44.097,British Airways,United Kingdom,1015
City,London,United Kingdom,0.092,51.842,Shannon,Shannon,Ireland,-8.875,53.169,British Airways,United Kingdom,624
City,London,United Kingdom,0.092,51.842,Zurich,Zurich,Switzerland,8.915,47.774,British Airways,United Kingdom,777
Gatwick,London,United Kingdom,0.349,51.246,Dyce,Aberdeen,United Kingdom,-1.663,57.336,British Airways,United Kingdom,689
Gatwick,London,United Kingdom,0.349,51.246,Malaga,Malaga,Spain,-4.166,37.124,British Airways,United Kingdom,1610
Gatwick,London,United Kingdom,0.349,51.246,Schiphol,Amsterdam,Netherlands,5.273,52.514,British Airways,United Kingdom,366
Gatwick,London,United Kingdom,0.349,51.246,V C Bird Intl,Antigua,Antigua and Barbuda,-61.655,17.227,British Airways,United Kingdom,6585
Gatwick,London,United Kingdom,0.349,51.246,Bermuda Intl,Bermuda,Bermuda,-64.465,32.606,British Airways,United Kingdom,5544
Gatwick,London,United Kingdom,0.349,51.246,Grantley Adams Intl,Bridgetown,Barbados,-59.155,13.124,British Airways,United Kingdom,6770
Gatwick,London,United Kingdom,0.349,51.246,Bologna,Bologna,Italy,11.481,44.892,British Airways,United Kingdom,1085
Gatwick,London,United Kingdom,0.349,51.246,Merignac,Bordeaux,France,-0.526,45.38,British Airways,United Kingdom,655
Gatwick,London,United Kingdom,0.349,51.246,Ferihegy,Budapest,Hungary,19.425,47.728,British Airways,United Kingdom,1427
Gatwick,London,United Kingdom,0.349,51.246,Catania Fontanarossa,Catania,Italy,15.11,37.777,British Airways,United Kingdom,1893
Gatwick,London,United Kingdom,0.349,51.246,Cancun Intl,Cancun,Mexico,-86.796,21.06,British Airways,United Kingdom,8003
Gatwick,London,United Kingdom,0.349,51.246,Dubrovnik,Dubrovnik,Croatia,18.447,42.935,British Airways,United Kingdom,1645
Gatwick,London,United Kingdom,0.349,51.246,Edinburgh,Edinburgh,United Kingdom,-2.955,56.583,British Airways,United Kingdom,631
Gatwick,London,United Kingdom,0.349,51.246,Faro,Faro,Portugal,-7.944,37.024,British Airways,United Kingdom,1711
Gatwick,London,United Kingdom,0.349,51.246,Fiumicino,Rome,Italy,12.417,42.34,British Airways,United Kingdom,1347
Gatwick,London,United Kingdom,0.349,51.246,Firenze,Firenze,Italy,11.341,44.349,British Airways,United Kingdom,1121
Gatwick,London,United Kingdom,0.349,51.246,Glasgow,Glasgow,United Kingdom,-4.056,56.453,British Airways,United Kingdom,646
Gatwick,London,United Kingdom,0.349,51.246,Genova Sestri,Genoa,Italy,9.395,44.688,British Airways,United Kingdom,991
Gatwick,London,United Kingdom,0.349,51.246,Geneva Cointrin,Geneva,Switzerland,6.181,46.396,British Airways,United Kingdom,687
Gatwick,London,United Kingdom,0.349,51.246,Innsbruck,Innsbruck,Austria,11.573,47.433,British Airways,United Kingdom,915
Gatwick,London,United Kingdom,0.349,51.246,Inverness,Inverness,United Kingdom,-3.413,57.904,British Airways,United Kingdom,778
Gatwick,London,United Kingdom,0.349,51.246,Isle Of Man,Isle Of Man,Isle of Man,-4.374,54.138,British Airways,United Kingdom,452
Gatwick,London,United Kingdom,0.349,51.246,Jersey,Jersey,Jersey,-1.66,49.346,British Airways,United Kingdom,254
Gatwick,London,United Kingdom,0.349,51.246,Norman Manley Intl,Kingston,Jamaica,-76.646,18.559,British Airways,United Kingdom,7512
Gatwick,London,United Kingdom,0.349,51.246,Manchester,Manchester,United Kingdom,-1.792,53.589,British Airways,United Kingdom,298
Gatwick,London,United Kingdom,0.349,51.246,Sangster Intl,Montego Bay,Jamaica,-77.856,18.839,British Airways,United Kingdom,7572
Gatwick,London,United Kingdom,0.349,51.246,Orlando Intl,Orlando,United States,-80.849,28.715,British Airways,United Kingdom,6971
Gatwick,London,United Kingdom,0.349,51.246,Male Intl,Male,Maldives,73.881,4.319,British Airways,United Kingdom,8491
Gatwick,London,United Kingdom,0.349,51.246,Provence,Marseille,France,5.356,43.725,British Airways,United Kingdom,916
Gatwick,London,United Kingdom,0.349,51.246,Sir Seewoosagur Ramgoolam Intl,Plaisance,Mauritius,58.139,-20.051,British Airways,United Kingdom,9713
Gatwick,London,United Kingdom,0.349,51.246,Capodichino,Naples,Italy,14.484,41.476,British Airways,United Kingdom,1530
Gatwick,London,United Kingdom,0.349,51.246,Nurnberg,Nuernberg,Germany,11.111,49.831,British Airways,United Kingdom,775
Gatwick,London,United Kingdom,0.349,51.246,Pristina,Pristina,Serbia,21.059,42.954,British Airways,United Kingdom,1809
Gatwick,London,United Kingdom,0.349,51.246,Menara,Marrakech,Morocco,-7.394,32.011,British Airways,United Kingdom,2230
Gatwick,London,United Kingdom,0.349,51.246,Makedonia,Thessaloniki,Greece,23.618,40.866,British Airways,United Kingdom,2120
Gatwick,London,United Kingdom,0.349,51.246,Salzburg,Salzburg,Austria,13.007,48.322,British Airways,United Kingdom,963
Gatwick,London,United Kingdom,0.349,51.246,Tirana Rinas,Tirana,Albania,20.2,41.691,British Airways,United Kingdom,1845
Gatwick,London,United Kingdom,0.349,51.246,Tampa Intl,Tampa,United States,-82.223,28.625,British Airways,United Kingdom,7071
Gatwick,London,United Kingdom,0.349,51.246,Torino,Torino,Italy,8.082,45.334,British Airways,United Kingdom,870
Gatwick,London,United Kingdom,0.349,51.246,Carthage,Tunis,Tunisia,10.378,37.418,British Airways,United Kingdom,1728
Gatwick,London,United Kingdom,0.349,51.246,Hewanorra Intl,Hewandorra,Saint Lucia,-60.921,14.221,British Airways,United Kingdom,6794
Gatwick,London,United Kingdom,0.349,51.246,Venezia Tessera,Venice,Italy,12.586,45.842,British Airways,United Kingdom,1080
Gatwick,London,United Kingdom,0.349,51.246,Villafranca,Villafranca,Italy,11.48,45.659,British Airways,United Kingdom,1027
Heathrow,London,United Kingdom,-0.103,51.795,Nnamdi Azikiwe Intl,Abuja,Nigeria,7.438,9.011,British Airways,United Kingdom,4806
Heathrow,London,United Kingdom,-0.103,51.795,Dyce,Aberdeen,United Kingdom,-1.663,57.336,British Airways,United Kingdom,624
Heathrow,London,United Kingdom,-0.103,51.795,Kotoka Intl,Accra,Ghana,0.388,6.008,British Airways,United Kingdom,5091
Heathrow,London,United Kingdom,-0.103,51.795,Houari Boumediene,Algier,Algeria,3.359,37.151,British Airways,United Kingdom,1650
Heathrow,London,United Kingdom,-0.103,51.795,Queen Alia Intl,Amman,Jordan,36.655,32.204,British Airways,United Kingdom,3676
Heathrow,London,United Kingdom,-0.103,51.795,Schiphol,Amsterdam,Netherlands,5.273,52.514,British Airways,United Kingdom,375
Heathrow,London,United Kingdom,-0.103,51.795,Arlanda,Stockholm,Sweden,18.531,60.086,British Airways,United Kingdom,1473
Heathrow,London,United Kingdom,-0.103,51.795,Eleftherios Venizelos Intl,Athens,Greece,24.574,38.56,British Airways,United Kingdom,2410
Heathrow,London,United Kingdom,-0.103,51.795,Hartsfield Jackson Atlanta Intl,Atlanta,United States,-84.047,34.061,British Airways,United Kingdom,6714
Heathrow,London,United Kingdom,-0.103,51.795,Abu Dhabi Intl,Abu Dhabi,United Arab Emirates,55.085,24.721,British Airways,United Kingdom,5504
Heathrow,London,United Kingdom,-0.103,51.795,Bahrain Intl,Bahrain,Bahrain,51.056,26.451,British Airways,United Kingdom,5091
Heathrow,London,United Kingdom,-0.103,51.795,Barcelona,Barcelona,Spain,2.13,41.495,British Airways,United Kingdom,1157
Heathrow,London,United Kingdom,-0.103,51.795,Suvarnabhumi Intl,Bangkok,Thailand,101.245,14.135,British Airways,United Kingdom,9536
